Name: “Table 1 of 1 on page 13 of 24”,Name: “Table 1 of 1 on page 13 of 24”,Name: “Table 1 of 1 on page 13 of 24”,Name: “Table 1 of 1 on page 13 of 24”,Name: “Table 1 of 1 on page 13 of 24”,Name: “Table 1 of 1 on page 13 of 24”,Name: “Table 1 of 1 on page 13 of 24”
Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13
,,,,,,
"Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction",
  Jordan Bridge,  Jordan Bridge,,,,,
Dates Collected:  9/26/2006 & 9/27/2006,Dates Collected:  9/26/2006 & 9/27/2006,Dates Collected:  9/26/2006 & 9/27/2006,,,,
Jordan Bridge - Eastbound,Jordan Bridge - Eastbound,Jordan Bridge - Eastbound,,Jordan Bridge - Westbound,Jordan Bridge - Westbound,Jordan Bridge - Westbound
Time Start,Tuesday,Wednesday,,Time Start,Tuesday,Wednesday
0:00,11,16,,0:00,17,16
1:00,12,11,,1:00,10,9
2:00,12,8,,2:00,9,7
3:00,7,3,,3:00,6,5
4:00,8,10,,4:00,28,27
5:00,26,22,,5:00,190,237
6:00,124,90,,6:00,462,409
7:00,452,466,,7:00,294,322
8:00,366,362,06,8:00,194,183
,,,0,,,
9:00,150,177,/2,9:00,101,80
10:00,149,175,27,10:00,88,88
,,,/,,,
11:00,173,114,9,11:00,102,134
,,,&,,,
12:00,189,152,6,12:00,97,125
,,,0,,,
13:00,407,145,20,13:00,145,110
14:00,273,229,26/,14:00,144,128
15:00,528,513,9/,15:00,243,242
16:00,441,414,,16:00,388,355
17:00,278,264,,17:00,338,313
18:00,141,182,,18:00,212,274
19:00,149,93,,19:00,91,84
20:00,107,63,,20:00,91,77
21:00,47,50,,21:00,63,68
22:00,45,37,,22:00,43,38
23:00,19,27,,23:00,34,39
Source:  HRTPO analysis of VDOT raw count station data.,Source:  HRTPO analysis of VDOT raw count station data.,Source:  HRTPO analysis of VDOT raw count station data.,,,,
