Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,,,,,,,,,,,
"Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction",,,,,,,,,,
  Hampton Roads Bridge-Tunnel,  Hampton Roads Bridge-Tunnel,  Hampton Roads Bridge-Tunnel,,,,,,,,,,,,,
Year:  2012,,,,,,,,,,,,,,,
,,,HRBT - Eastbound,HRBT - Eastbound,,,,,,,HRBT - Westbound,HRBT - Westbound,,,
Time Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Time Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0:00,648,475,525,539,621,937,845,0:00,724,406,512,638,590,873,958
1:00,355,255,265,303,348,516,549,1:00,314,252,279,355,399,615,635
2:00,258,204,223,270,279,396,456,2:00,257,182,216,241,305,579,673
3:00,271,240,248,257,288,320,307,3:00,275,214,207,233,262,333,378
4:00,681,605,591,614,599,387,298,4:00,591,542,473,533,553,430,315
5:00,"2,156","2,138","2,017","2,107","1,947",716,464,5:00,"1,687","1,582","1,534","1,554","1,514",829,480
6:00,"3,101","3,165","3,018","3,210","3,151","1,227",695,6:00,"2,699","2,641","2,488","2,590","2,471","1,484",881
7:00,"3,480","3,546","3,210","3,478","3,311","1,732",926,7:00,"2,949","3,016","2,885","2,966","2,868","2,109","1,304"
8:00,"3,071","2,948","2,982","3,004","2,810","2,232","1,244",8:00,"2,792","2,776","2,680","2,860","2,847","2,652","1,794"
9:00,"2,390","2,500","2,557","2,621","2,569","2,661","1,738",9:00,"2,622","2,557","2,590","2,685","2,812","2,811","2,416"
10:00,"2,334","2,462","2,537","2,574","2,657","2,749","2,289",10:00,"2,503","2,484","2,355","2,689","2,726","2,730","2,659"
11:00,"2,384","2,439","2,617","2,692","2,839","2,842","2,587",11:00,"2,542","2,484","2,561","2,707","2,578","2,631","2,547"
12:00,"2,478","2,546","2,545","2,734","2,947","2,764","2,669",12:00,"2,551","2,580","2,393","2,599","2,646","2,610","2,472"
13:00,"2,498","2,543","2,561","2,730","2,930","2,659","2,688",13:00,"2,577","2,533","2,607","2,528","2,698","2,614","2,556"
14:00,"2,888","2,887","2,889","3,024","2,828","2,668","2,717",14:00,"2,779","2,856","2,817","2,883","2,697","2,618","2,541"
15:00,"3,045","3,146","3,009","3,119","2,977","2,655","2,671",15:00,"2,941","3,026","2,803","2,906","2,820","2,515","2,568"
16:00,"3,164","3,180","3,148","3,169","2,975","2,624","2,741",16:00,"2,909","2,991","2,889","2,870","2,747","2,492","2,583"
