Name: “Table 1 of 1 on page 19 of 24”,Name: “Table 1 of 1 on page 19 of 24”,Name: “Table 1 of 1 on page 19 of 24”,Name: “Table 1 of 1 on page 19 of 24”,Name: “Table 1 of 1 on page 19 of 24”,Name: “Table 1 of 1 on page 19 of 24”,Name: “Table 1 of 1 on page 19 of 24”
Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19
,,,,,,
"Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction",
  Centerville Turnpike Bridge,  Centerville Turnpike Bridge,  Centerville Turnpike Bridge,,,,
Dates Collected:  5/18/2011 & 5/19/2011,Dates Collected:  5/18/2011 & 5/19/2011,Dates Collected:  5/18/2011 & 5/19/2011,,,,
Centerville Tpke Bridge - Northbound,Centerville Tpke Bridge - Northbound,Centerville Tpke Bridge - Northbound,Centerville Tpke Bridge - Southbound,Centerville Tpke Bridge - Southbound,Centerville Tpke Bridge - Southbound,Centerville Tpke Bridge - Southbound
Time Start,Wednesday,Thursday,,Time Start,Wednesday,Thursday
0:00,53,29,,0:00,59,74
1:00,8,18,,1:00,28,36
2:00,13,13,,2:00,27,23
3:00,20,14,,3:00,16,11
4:00,62,51,,4:00,20,24
5:00,216,184,,5:00,74,82
6:00,560,577,,6:00,237,242
7:00,"1,029","1,062",,7:00,413,428
8:00,733,764,11,8:00,394,385
,,,0,,,
9:00,462,515,/2,9:00,305,343
10:00,383,389,19,10:00,316,375
,,,/,,,
11:00,354,381,5,11:00,383,426
,,,&,,,
12:00,418,417,1,12:00,414,457
,,,1,,,
13:00,371,394,20,13:00,505,498
14:00,419,413,18/,14:00,568,577
15:00,493,482,5/,15:00,847,820
16:00,493,563,,16:00,"1,040","1,029"
17:00,543,561,,17:00,"1,189","1,217"
18:00,512,462,,18:00,826,864
19:00,309,354,,19:00,491,554
20:00,258,273,,20:00,520,514
21:00,165,203,,21:00,366,343
22:00,108,106,,22:00,176,216
23:00,54,56,,23:00,106,115
Source:  HRTPO analysis of VDOT raw count station data.,Source:  HRTPO analysis of VDOT raw count station data.,Source:  HRTPO analysis of VDOT raw count station data.,,,,
