Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,,,,,,,,,,,
"Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction",,,,,,,,,,
  Downtown Tunnel,  Downtown Tunnel,,,,,,,,,,,,,,
Year:  2012,,,,,,,,,,,,,,,
,,Downtown Tunnel - Eastbound,Downtown Tunnel - Eastbound,Downtown Tunnel - Eastbound,,,,,,Downtown Tunnel - Westbound,Downtown Tunnel - Westbound,Downtown Tunnel - Westbound,,,
Time Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Time Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0:00,500,455,570,586,573,786,767,0:00,683,667,762,804,832,"1,152","1,140"
1:00,285,277,329,339,363,532,552,1:00,410,389,428,468,538,812,838
2:00,251,247,287,292,326,506,496,2:00,394,327,358,392,479,724,751
3:00,273,286,293,310,323,420,366,3:00,344,334,352,376,417,468,440
4:00,590,546,558,585,579,411,310,4:00,651,625,654,656,666,453,366
5:00,"1,820","1,810","1,707","1,788","1,726",718,470,5:00,"2,057","2,040","2,033","2,056","2,051",836,541
6:00,"3,156","3,118","2,976","3,115","3,053","1,236",816,6:00,"3,003","2,968","2,690","3,020","2,986","1,286",931
7:00,"3,214","3,215","3,077","3,267","3,108","1,588","1,136",7:00,"2,963","2,918","2,705","2,944","2,909","1,421","1,018"
8:00,"2,845","2,713","2,857","2,957","2,864","1,825","1,203",8:00,"2,476","2,706","2,541","2,648","2,574","1,658","1,140"
9:00,"2,275","2,344","2,278","2,313","2,461","2,011","1,566",9:00,"2,173","2,292","2,134","2,310","2,460","1,992","1,524"
10:00,"2,417","2,539","2,404","2,580","2,712","2,287","1,970",10:00,"2,304","2,304","2,318","2,345","2,578","2,257","2,029"
11:00,"2,464","2,484","2,361","2,561","2,731","2,511","2,032",11:00,"2,365","2,379","2,258","2,494","2,679","2,488","2,157"
12:00,"2,515","2,559","2,546","2,641","2,791","2,579","2,169",12:00,"2,636","2,623","2,574","2,691","2,823","2,692","2,375"
13:00,"2,458","2,467","2,459","2,418","2,514","2,629","2,314",13:00,"2,597","2,639","2,555","2,701","2,723","2,715","2,544"
14:00,"2,699","2,597","2,666","2,759","2,710","2,692","2,338",14:00,"2,858","2,756","2,779","2,946","2,871","2,798","2,589"
15:00,"2,769","2,920","2,926","3,001","2,912","2,594","2,290",15:00,"2,920","3,131","2,876","3,111","3,086","2,795","2,645"
16:00,"2,999","2,995","2,977","3,004","2,862","2,416","2,164",16:00,"3,109","3,251","3,086","3,104","3,174","2,657","2,485"
17:00,"2,857","2,898","2,817","2,881","2,723","2,508","2,025",17:00,"3,222","3,109","3,108","3,244","3,173","2,583","2,385"
18:00,"2,280","2,407","2,440","2,537","2,637","2,457","1,945",18:00,"2,840","2,877","3,058","3,014","3,013","2,526","2,286"
19:00,"1,698","1,800","1,946","1,935","2,271","2,056","1,691",19:00,"2,048","2,155","2,405","2,372","2,436","2,238","1,951"
20:00,"1,422","1,496","1,594","1,675","1,932","1,774","1,513",20:00,"1,855","1,921","2,098","2,084","2,199","2,116","1,742"
21:00,"1,238","1,289","1,421","1,469","1,770","1,689","1,412",21:00,"1,693","1,863","1,847","1,989","2,267","2,134","1,594"
22:00,"1,045","1,074","1,224","1,262","1,601","1,584","1,208",22:00,"1,361","1,481","1,511","1,639","1,928","1,899","1,311"
23:00,768,820,960,"1,018","1,232","1,235",869,23:00,979,"1,057","1,179","1,217","1,562","1,619","1,020"
Time Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Time Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0:00,432,409,432,431,490,748,729,0:00,587,617,651,692,730,"1,107","1,028"
1:00,275,266,270,278,346,542,564,1:00,366,344,360,402,467,796,798
2:00,239,229,237,262,330,513,526,2:00,352,293,313,333,445,748,775
3:00,260,269,272,287,327,415,352,3:00,322,307,333,343,383,455,426
4:00,532,549,556,548,577,392,317,4:00,616,661,685,689,699,471,352
5:00,"1,701","1,868","1,932","1,866","1,808",748,500,5:00,"1,795","2,123","2,175","2,090","2,038",865,506
6:00,"2,841","3,122","3,245","3,121","3,171","1,256",795,6:00,"2,636","2,956","3,056","2,939","3,007","1,277",850
7:00,"2,951","3,106","3,258","3,143","3,166","1,611","1,080",7:00,"2,651","2,947","3,091","2,960","2,914","1,431",921
8:00,"2,650","2,974","3,009","2,921","2,904","1,865","1,151",8:00,"2,467","2,708","2,814","2,723","2,744","1,703","1,052"
9:00,"2,240","2,487","2,545","2,489","2,516","2,050","1,514",9:00,"2,149","2,344","2,294","2,378","2,428","1,960","1,424"
10:00,"2,300","2,468","2,499","2,536","2,643","2,268","1,881",10:00,"2,145","2,296","2,315","2,353","2,497","2,171","1,888"
11:00,"2,241","2,391","2,414","2,483","2,738","2,547","1,895",11:00,"2,232","2,326","2,366","2,440","2,635","2,433","1,988"
12:00,"2,399","2,484","2,501","2,577","2,816","2,645","2,056",12:00,"2,481","2,619","2,583","2,751","2,884","2,642","2,157"
13:00,"2,357","2,500","2,498","2,595","2,681","2,659","2,285",13:00,"2,526","2,615","2,594","2,690","2,798","2,667","2,461"
14:00,"2,700","2,827","2,851","2,874","2,875","2,636","2,280",14:00,"2,815","2,829","2,893","2,957","3,009","2,733","2,444"
15:00,"2,920","3,082","3,052","3,097","3,018","2,611","2,170",15:00,"3,050","3,137","3,157","3,145","3,249","2,784","2,443"
16:00,"2,905","3,167","3,074","3,099","3,026","2,553","2,058",16:00,"3,124","3,292","3,271","3,274","3,326","2,809","2,382"
17:00,"2,721","2,992","3,019","3,053","2,933","2,530","2,023",17:00,"3,102","3,295","3,273","3,264","3,289","2,701","2,305"
18:00,"2,218","2,453","2,541","2,575","2,693","2,298","1,838",18:00,"2,651","2,991","3,013","3,075","3,005","2,543","2,152"
19:00,"1,654","1,803","1,853","1,916","2,259","1,988","1,606",19:00,"1,972","2,168","2,231","2,283","2,431","2,205","1,769"
