Name: “Table 1 of 1 on page 9 of 88”,Name: “Table 1 of 1 on page 9 of 88”,Name: “Table 1 of 1 on page 9 of 88”,Name: “Table 1 of 1 on page 9 of 88”,Name: “Table 1 of 1 on page 9 of 88”,Name: “Table 1 of 1 on page 9 of 88”,Name: “Table 1 of 1 on page 9 of 88”,Name: “Table 1 of 1 on page 9 of 88”,Name: “Table 1 of 1 on page 9 of 88”,Name: “Table 1 of 1 on page 9 of 88”,Name: “Table 1 of 1 on page 9 of 88”,Name: “Table 1 of 1 on page 9 of 88”,Name: “Table 1 of 1 on page 9 of 88”,Name: “Table 1 of 1 on page 9 of 88”,Name: “Table 1 of 1 on page 9 of 88”,Name: “Table 1 of 1 on page 9 of 88”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,,,,,,,,,,,
,,,,,,,,,,,Toll Feasibility Study,Toll Feasibility Study,Toll Feasibility Study,Toll Feasibility Study,
"In the stand-alone analysis, this study assumes that revenue from tolls does not start","In the stand-alone analysis, this study assumes that revenue from tolls does not start","In the stand-alone analysis, this study assumes that revenue from tolls does not start","In the stand-alone analysis, this study assumes that revenue from tolls does not start","In the stand-alone analysis, this study assumes that revenue from tolls does not start","In the stand-alone analysis, this study assumes that revenue from tolls does not start","In the stand-alone analysis, this study assumes that revenue from tolls does not start","In the stand-alone analysis, this study assumes that revenue from tolls does not start","In the stand-alone analysis, this study assumes that revenue from tolls does not start","In the stand-alone analysis, this study assumes that revenue from tolls does not start","In the stand-alone analysis, this study assumes that revenue from tolls does not start","In the stand-alone analysis, this study assumes that revenue from tolls does not start","In the stand-alone analysis, this study assumes that revenue from tolls does not start","In the stand-alone analysis, this study assumes that revenue from tolls does not start","In the stand-alone analysis, this study assumes that revenue from tolls does not start",
until,the,project,is,completely,constructed,constructed,constructed,constructed,and,opened;,creating,a,substantial,substantial,delay
between the beginning of scheduled expenditures (Construction Start Date) and the toll,between the beginning of scheduled expenditures (Construction Start Date) and the toll,between the beginning of scheduled expenditures (Construction Start Date) and the toll,between the beginning of scheduled expenditures (Construction Start Date) and the toll,between the beginning of scheduled expenditures (Construction Start Date) and the toll,between the beginning of scheduled expenditures (Construction Start Date) and the toll,between the beginning of scheduled expenditures (Construction Start Date) and the toll,between the beginning of scheduled expenditures (Construction Start Date) and the toll,between the beginning of scheduled expenditures (Construction Start Date) and the toll,between the beginning of scheduled expenditures (Construction Start Date) and the toll,between the beginning of scheduled expenditures (Construction Start Date) and the toll,between the beginning of scheduled expenditures (Construction Start Date) and the toll,between the beginning of scheduled expenditures (Construction Start Date) and the toll,between the beginning of scheduled expenditures (Construction Start Date) and the toll,between the beginning of scheduled expenditures (Construction Start Date) and the toll,
revenue start date.,revenue start date.,revenue start date.,revenue start date.,"In the case of the Hampton Roads Third Crossing, the delay is","In the case of the Hampton Roads Third Crossing, the delay is","In the case of the Hampton Roads Third Crossing, the delay is","In the case of the Hampton Roads Third Crossing, the delay is","In the case of the Hampton Roads Third Crossing, the delay is","In the case of the Hampton Roads Third Crossing, the delay is","In the case of the Hampton Roads Third Crossing, the delay is","In the case of the Hampton Roads Third Crossing, the delay is","In the case of the Hampton Roads Third Crossing, the delay is","In the case of the Hampton Roads Third Crossing, the delay is","In the case of the Hampton Roads Third Crossing, the delay is",
eleven (11) years.,eleven (11) years.,eleven (11) years.,,During this time financing costs continue to rise with no revenue to,During this time financing costs continue to rise with no revenue to,During this time financing costs continue to rise with no revenue to,During this time financing costs continue to rise with no revenue to,During this time financing costs continue to rise with no revenue to,During this time financing costs continue to rise with no revenue to,During this time financing costs continue to rise with no revenue to,During this time financing costs continue to rise with no revenue to,During this time financing costs continue to rise with no revenue to,During this time financing costs continue to rise with no revenue to,During this time financing costs continue to rise with no revenue to,
offset.,With,project,project,toll,revenues,as,the,only,leverage,for,bonds,and,and,"loans,",project
financing is costly and inefficient for start-up toll facilities.,financing is costly and inefficient for start-up toll facilities.,financing is costly and inefficient for start-up toll facilities.,financing is costly and inefficient for start-up toll facilities.,financing is costly and inefficient for start-up toll facilities.,financing is costly and inefficient for start-up toll facilities.,financing is costly and inefficient for start-up toll facilities.,financing is costly and inefficient for start-up toll facilities.,financing is costly and inefficient for start-up toll facilities.,financing is costly and inefficient for start-up toll facilities.,,,,,,
,Table 1.3-2 “Stand-Alone” Project Capital Sources & Costs Summary,Table 1.3-2 “Stand-Alone” Project Capital Sources & Costs Summary,Table 1.3-2 “Stand-Alone” Project Capital Sources & Costs Summary,Table 1.3-2 “Stand-Alone” Project Capital Sources & Costs Summary,Table 1.3-2 “Stand-Alone” Project Capital Sources & Costs Summary,Table 1.3-2 “Stand-Alone” Project Capital Sources & Costs Summary,Table 1.3-2 “Stand-Alone” Project Capital Sources & Costs Summary,Table 1.3-2 “Stand-Alone” Project Capital Sources & Costs Summary,Table 1.3-2 “Stand-Alone” Project Capital Sources & Costs Summary,Table 1.3-2 “Stand-Alone” Project Capital Sources & Costs Summary,Table 1.3-2 “Stand-Alone” Project Capital Sources & Costs Summary,Table 1.3-2 “Stand-Alone” Project Capital Sources & Costs Summary,Table 1.3-2 “Stand-Alone” Project Capital Sources & Costs Summary,Table 1.3-2 “Stand-Alone” Project Capital Sources & Costs Summary,
,,,,,,,,,,,,,,Const.,Total
,,,,Net,Additional,Additional,Additional,Additional,Total Bond /,Total Bond /,Funding,Funding,Funding,,
,,,,,,,,,,,,,,,Revenue
Project,P/D & E (1),P/D & E (1),,,,,,,,,,,,Start,
,,,,Total Cost (2),Funding (4),Funding (4),Funding (4),Funding (4),Loan Funds,Loan Funds,Deficit,Deficit,Deficit,Date,Start
,,,,,,,,,,,,,,,Date
"HRX,",,,,,,,,,,,,,,,
,"53,850,000","53,850,000",,"1,833,348,300",,,-,,,"82,670,500","1,750,677,800","1,750,677,800","1,750,677,800",2005,2008
Segment I,,,,,,,,,,,,,,,
HRX,"81,000,000","81,000,000",,"4,152,372,000",,,-,,,"336,804,100","3,815,567,900","3,815,567,900","3,815,567,900",2006,2017
Midtown &,,,,,,,,,,,,,,,
,"12,630,000","12,630,000",,"548,827,600",,,-,,,"83,915,300","464,912,300","464,912,300","464,912,300",2009,2015
MLK,,,,,,,,,,,,,,,
Route 460,"26,820,000","26,820,000",,"1,468,264,000","321,000,000","321,000,000","321,000,000","321,000,000",,"454,236,600","902,375,200","902,375,200","902,375,200",2010,2018
"SP&G (3),",,,,,,,,,,,,,,,
I-264 to,"14,670,000","14,670,000",,"931,532,800","420,000,000","420,000,000","420,000,000","420,000,000",,,,,,2010,2017
I-64,,,,,,,,,,"598,046,400","337,797,000","337,797,000","337,797,000",,
"SP&G (3),",,,,,,,,,,,,,,,
Dominion,,"3,270,000",,"185,180,200","100,000,000","100,000,000","100,000,000","100,000,000",,,,,,2010,2017
Boulevard,,,,,,,,,,,,,,,
(1) Preliminary design and engineering costs are estimated to be 3% of non-inflated project cost.,(1) Preliminary design and engineering costs are estimated to be 3% of non-inflated project cost.,(1) Preliminary design and engineering costs are estimated to be 3% of non-inflated project cost.,(1) Preliminary design and engineering costs are estimated to be 3% of non-inflated project cost.,(1) Preliminary design and engineering costs are estimated to be 3% of non-inflated project cost.,(1) Preliminary design and engineering costs are estimated to be 3% of non-inflated project cost.,(1) Preliminary design and engineering costs are estimated to be 3% of non-inflated project cost.,(1) Preliminary design and engineering costs are estimated to be 3% of non-inflated project cost.,(1) Preliminary design and engineering costs are estimated to be 3% of non-inflated project cost.,(1) Preliminary design and engineering costs are estimated to be 3% of non-inflated project cost.,(1) Preliminary design and engineering costs are estimated to be 3% of non-inflated project cost.,(1) Preliminary design and engineering costs are estimated to be 3% of non-inflated project cost.,(1) Preliminary design and engineering costs are estimated to be 3% of non-inflated project cost.,(1) Preliminary design and engineering costs are estimated to be 3% of non-inflated project cost.,,
(2) Preliminary design and engineering have been subtracted out,(2) Preliminary design and engineering have been subtracted out,(2) Preliminary design and engineering have been subtracted out,(2) Preliminary design and engineering have been subtracted out,(2) Preliminary design and engineering have been subtracted out,(2) Preliminary design and engineering have been subtracted out,(2) Preliminary design and engineering have been subtracted out,(2) Preliminary design and engineering have been subtracted out,(2) Preliminary design and engineering have been subtracted out,(2) Preliminary design and engineering have been subtracted out,,,,,,
